key	value	date
AGOC-3A	0.557411	8/1/16 6:0:0
Methylosmolene	0.534126	8/1/16 6:0:0
Chlorodinine	0.492228	8/1/16 6:0:0
AGOC-3A	0.441865	8/1/16 6:0:0
Methylosmolene	0.361647	8/1/16 6:0:0
Chlorodinine	0.359831	8/1/16 6:0:0
Methylosmolene	0.291147	8/1/16 6:0:0
Chlorodinine	0.28871	8/1/16 6:0:0
Appluimonia	0.272559	8/1/16 6:0:0
AGOC-3A	0.145401	8/1/16 6:0:0
Chlorodinine	0.133699	8/1/16 6:0:0
Appluimonia	0.130129	8/1/16 6:0:0
Appluimonia	0.119545	8/1/16 6:0:0
Methylosmolene	0.0645866	8/1/16 6:0:0
Appluimonia	0.0497792	8/1/16 6:0:0
AGOC-3A	0.0463695	8/1/16 6:0:0
AGOC-3A	0.045917	8/1/16 6:0:0
Chlorodinine	0.0197603	8/1/16 6:0:0
Methylosmolene	0.0182012	8/1/16 6:0:0
Appluimonia	0.00528296	8/1/16 6:0:0
AGOC-3A	6.35186	8/1/16 7:0:0
Chlorodinine	3.67881	8/1/16 7:0:0
Appluimonia	3.23455	8/1/16 7:0:0
Appluimonia	2.07539	8/1/16 7:0:0
Methylosmolene	1.28724	8/1/16 7:0:0
Appluimonia	1.1135	8/1/16 7:0:0
AGOC-3A	1.08914	8/1/16 7:0:0
Chlorodinine	0.899829	8/1/16 7:0:0
AGOC-3A	0.699902	8/1/16 7:0:0
Methylosmolene	0.668136	8/1/16 7:0:0
AGOC-3A	0.634467	8/1/16 7:0:0
AGOC-3A	0.626218	8/1/16 7:0:0
Chlorodinine	0.60716	8/1/16 7:0:0
Chlorodinine	0.601867	8/1/16 7:0:0
Methylosmolene	0.587611	8/1/16 7:0:0
Methylosmolene	0.580154	8/1/16 7:0:0
Appluimonia	0.497356	8/1/16 7:0:0
AGOC-3A	0.461403	8/1/16 7:0:0
Chlorodinine	0.456708	8/1/16 7:0:0
Chlorodinine	0.418921	8/1/16 7:0:0
AGOC-3A	0.410722	8/1/16 7:0:0
Appluimonia	0.410386	8/1/16 7:0:0
Appluimonia	0.408886	8/1/16 7:0:0
Methylosmolene	0.304388	8/1/16 7:0:0
AGOC-3A	0.289856	8/1/16 7:0:0
Methylosmolene	0.267044	8/1/16 7:0:0
Appluimonia	0.253558	8/1/16 7:0:0
Appluimonia	0.2401	8/1/16 7:0:0
Methylosmolene	0.237842	8/1/16 7:0:0
AGOC-3A	0.185347	8/1/16 7:0:0
Chlorodinine	0.147041	8/1/16 7:0:0
Chlorodinine	0.140498	8/1/16 7:0:0
Methylosmolene	0.130456	8/1/16 7:0:0
Appluimonia	0.105855	8/1/16 7:0:0
Chlorodinine	0.0881904	8/1/16 7:0:0
AGOC-3A	0.074422	8/1/16 7:0:0
AGOC-3A	2.51121	8/1/16 8:0:0
AGOC-3A	1.38953	8/1/16 8:0:0
Methylosmolene	1.36049	8/1/16 8:0:0
Chlorodinine	1.32125	8/1/16 8:0:0
AGOC-3A	1.22389	8/1/16 8:0:0
Methylosmolene	1.10874	8/1/16 8:0:0
AGOC-3A	0.905171	8/1/16 8:0:0
Appluimonia	0.891803	8/1/16 8:0:0
Chlorodinine	0.608614	8/1/16 8:0:0
AGOC-3A	0.593639	8/1/16 8:0:0
Methylosmolene	0.526142	8/1/16 8:0:0
Appluimonia	0.485329	8/1/16 8:0:0
Chlorodinine	0.477769	8/1/16 8:0:0
AGOC-3A	0.415844	8/1/16 8:0:0
Appluimonia	0.411664	8/1/16 8:0:0
Chlorodinine	0.410083	8/1/16 8:0:0
Methylosmolene	0.380523	8/1/16 8:0:0
Appluimonia	0.370154	8/1/16 8:0:0
AGOC-3A	0.361116	8/1/16 8:0:0
Methylosmolene	0.350486	8/1/16 8:0:0
Appluimonia	0.301296	8/1/16 8:0:0
Appluimonia	0.298526	8/1/16 8:0:0
Methylosmolene	0.281404	8/1/16 8:0:0
Appluimonia	0.277682	8/1/16 8:0:0
Methylosmolene	0.272787	8/1/16 8:0:0
Chlorodinine	0.236935	8/1/16 8:0:0
Chlorodinine	0.219171	8/1/16 8:0:0
Appluimonia	0.151103	8/1/16 8:0:0
Chlorodinine	0.11601	8/1/16 8:0:0
Chlorodinine	0.107239	8/1/16 8:0:0
Chlorodinine	0.0675024	8/1/16 8:0:0
AGOC-3A	0.0529847	8/1/16 8:0:0
Methylosmolene	0.0526441	8/1/16 8:0:0
AGOC-3A	0.0467195	8/1/16 8:0:0
Methylosmolene	0.0440162	8/1/16 8:0:0
Appluimonia	0.0243023	8/1/16 8:0:0
AGOC-3A	26.72656	8/1/16 9:0:0
AGOC-3A	2.77717	8/1/16 9:0:0
Appluimonia	2.34068	8/1/16 9:0:0
Methylosmolene	1.68175	8/1/16 9:0:0
AGOC-3A	1.55043	8/1/16 9:0:0
AGOC-3A	1.30669	8/1/16 9:0:0
Methylosmolene	1.17966	8/1/16 9:0:0
AGOC-3A	1.16737	8/1/16 9:0:0
Chlorodinine	1.09408	8/1/16 9:0:0
AGOC-3A	1.02132	8/1/16 9:0:0
Chlorodinine	0.916494	8/1/16 9:0:0
Methylosmolene	0.870496	8/1/16 9:0:0
Appluimonia	0.781526	8/1/16 9:0:0
Appluimonia	0.7225	8/1/16 9:0:0
Chlorodinine	0.622834	8/1/16 9:0:0
Chlorodinine	0.566512	8/1/16 9:0:0
Methylosmolene	0.505268	8/1/16 9:0:0
Chlorodinine	0.437364	8/1/16 9:0:0
Chlorodinine	0.401645	8/1/16 9:0:0
Appluimonia	0.367224	8/1/16 9:0:0
Appluimonia	0.364169	8/1/16 9:0:0
AGOC-3A	0.318437	8/1/16 9:0:0
AGOC-3A	0.31816	8/1/16 9:0:0
Appluimonia	0.273985	8/1/16 9:0:0
Methylosmolene	0.268929	8/1/16 9:0:0
Methylosmolene	0.242225	8/1/16 9:0:0
AGOC-3A	0.23968	8/1/16 9:0:0
Methylosmolene	0.214095	8/1/16 9:0:0
AGOC-3A	0.209375	8/1/16 9:0:0
Chlorodinine	0.204782	8/1/16 9:0:0
Chlorodinine	0.14962	8/1/16 9:0:0
Appluimonia	0.136986	8/1/16 9:0:0
Appluimonia	0.12927	8/1/16 9:0:0
Chlorodinine	0.128326	8/1/16 9:0:0
Appluimonia	0.108866	8/1/16 9:0:0
Methylosmolene	0.0929702	8/1/16 9:0:0
AGOC-3A	26.89603	8/1/16 10:0:0
AGOC-3A	3.22695	8/1/16 10:0:0
Chlorodinine	1.37347	8/1/16 10:0:0
Methylosmolene	1.33612	8/1/16 10:0:0
AGOC-3A	1.1751	8/1/16 10:0:0
AGOC-3A	1.16784	8/1/16 10:0:0
Methylosmolene	1.09392	8/1/16 10:0:0
Appluimonia	1.06895	8/1/16 10:0:0
Appluimonia	0.932581	8/1/16 10:0:0
Appluimonia	0.921391	8/1/16 10:0:0
Chlorodinine	0.920489	8/1/16 10:0:0
Chlorodinine	0.76245	8/1/16 10:0:0
Methylosmolene	0.698458	8/1/16 10:0:0
Chlorodinine	0.676782	8/1/16 10:0:0
Methylosmolene	0.611657	8/1/16 10:0:0
Appluimonia	0.556121	8/1/16 10:0:0
Appluimonia	0.461027	8/1/16 10:0:0
Chlorodinine	0.44787	8/1/16 10:0:0
Appluimonia	0.406373	8/1/16 10:0:0
AGOC-3A	0.397223	8/1/16 10:0:0
Methylosmolene	0.345681	8/1/16 10:0:0
Chlorodinine	0.345318	8/1/16 10:0:0
AGOC-3A	0.336635	8/1/16 10:0:0
Methylosmolene	0.311291	8/1/16 10:0:0
Appluimonia	0.30779	8/1/16 10:0:0
Appluimonia	0.278947	8/1/16 10:0:0
AGOC-3A	0.265285	8/1/16 10:0:0
AGOC-3A	0.167363	8/1/16 10:0:0
Chlorodinine	0.150836	8/1/16 10:0:0
AGOC-3A	0.117696	8/1/16 10:0:0
Chlorodinine	0.111634	8/1/16 10:0:0
Methylosmolene	0.105314	8/1/16 10:0:0
AGOC-3A	0.0666776	8/1/16 10:0:0
Methylosmolene	0.0526041	8/1/16 10:0:0
Appluimonia	0.0227489	8/1/16 10:0:0
Chlorodinine	0.018587	8/1/16 10:0:0
Appluimonia	3.58666	8/1/16 11:0:0
Appluimonia	2.42009	8/1/16 11:0:0
Methylosmolene	2.06956	8/1/16 11:0:0
Methylosmolene	1.24191	8/1/16 11:0:0
AGOC-3A	1.08848	8/1/16 11:0:0
AGOC-3A	1.0556	8/1/16 11:0:0
Chlorodinine	1.01367	8/1/16 11:0:0
Chlorodinine	0.724812	8/1/16 11:0:0
Appluimonia	0.640582	8/1/16 11:0:0
AGOC-3A	0.512342	8/1/16 11:0:0
Appluimonia	0.440814	8/1/16 11:0:0
Chlorodinine	0.431504	8/1/16 11:0:0
Methylosmolene	0.404583	8/1/16 11:0:0
AGOC-3A	0.404246	8/1/16 11:0:0
AGOC-3A	0.338529	8/1/16 11:0:0
Appluimonia	0.31285	8/1/16 11:0:0
Chlorodinine	0.267322	8/1/16 11:0:0
Methylosmolene	0.264417	8/1/16 11:0:0
Appluimonia	0.260627	8/1/16 11:0:0
Methylosmolene	0.234028	8/1/16 11:0:0
Methylosmolene	0.227607	8/1/16 11:0:0
Appluimonia	0.226384	8/1/16 11:0:0
AGOC-3A	0.223901	8/1/16 11:0:0
AGOC-3A	0.204704	8/1/16 11:0:0
Chlorodinine	0.18589	8/1/16 11:0:0
Appluimonia	0.181591	8/1/16 11:0:0
Chlorodinine	0.179918	8/1/16 11:0:0
Chlorodinine	0.134578	8/1/16 11:0:0
Chlorodinine	0.105479	8/1/16 11:0:0
Methylosmolene	0.097411	8/1/16 11:0:0
AGOC-3A	0.064287	8/1/16 11:0:0
Methylosmolene	0.0558169	8/1/16 11:0:0
Appluimonia	0.0496405	8/1/16 11:0:0
Methylosmolene	0.0289705	8/1/16 11:0:0
Chlorodinine	0.0234425	8/1/16 11:0:0
AGOC-3A	0.0161869	8/1/16 11:0:0
Chlorodinine	7.82971	8/1/16 12:0:0
Appluimonia	5.25331	8/1/16 12:0:0
AGOC-3A	1.99028	8/1/16 12:0:0
Methylosmolene	1.3109	8/1/16 12:0:0
Chlorodinine	1.17242	8/1/16 12:0:0
Methylosmolene	1.14874	8/1/16 12:0:0
Chlorodinine	1.11458	8/1/16 12:0:0
Appluimonia	0.883998	8/1/16 12:0:0
Appluimonia	0.827685	8/1/16 12:0:0
Methylosmolene	0.799529	8/1/16 12:0:0
AGOC-3A	0.736907	8/1/16 12:0:0
Chlorodinine	0.726357	8/1/16 12:0:0
AGOC-3A	0.604275	8/1/16 12:0:0
Chlorodinine	0.582381	8/1/16 12:0:0
Methylosmolene	0.5649	8/1/16 12:0:0
AGOC-3A	0.458169	8/1/16 12:0:0
AGOC-3A	0.449899	8/1/16 12:0:0
Methylosmolene	0.424378	8/1/16 12:0:0
Appluimonia	0.386089	8/1/16 12:0:0
Chlorodinine	0.379955	8/1/16 12:0:0
Methylosmolene	0.37661	8/1/16 12:0:0
Appluimonia	0.372246	8/1/16 12:0:0
Methylosmolene	0.331187	8/1/16 12:0:0
AGOC-3A	0.303286	8/1/16 12:0:0
AGOC-3A	0.288845	8/1/16 12:0:0
AGOC-3A	0.268587	8/1/16 12:0:0
AGOC-3A	0.265977	8/1/16 12:0:0
Appluimonia	0.262436	8/1/16 12:0:0
Appluimonia	0.258657	8/1/16 12:0:0
Appluimonia	0.233905	8/1/16 12:0:0
Chlorodinine	0.230913	8/1/16 12:0:0
Methylosmolene	0.198642	8/1/16 12:0:0
Appluimonia	0.140773	8/1/16 12:0:0
Chlorodinine	0.128444	8/1/16 12:0:0
Chlorodinine	0.0737443	8/1/16 12:0:0
Methylosmolene	0.054875	8/1/16 12:0:0
AGOC-3A	11.93167	8/1/16 13:0:0
AGOC-3A	2.9289	8/1/16 13:0:0
Appluimonia	2.55529	8/1/16 13:0:0
Chlorodinine	1.39971	8/1/16 13:0:0
Appluimonia	1.08687	8/1/16 13:0:0
Methylosmolene	1.01534	8/1/16 13:0:0
AGOC-3A	1.00065	8/1/16 13:0:0
Methylosmolene	0.994791	8/1/16 13:0:0
Methylosmolene	0.861026	8/1/16 13:0:0
Chlorodinine	0.805086	8/1/16 13:0:0
Appluimonia	0.79826	8/1/16 13:0:0
Chlorodinine	0.593894	8/1/16 13:0:0
Chlorodinine	0.555487	8/1/16 13:0:0
Appluimonia	0.548817	8/1/16 13:0:0
Chlorodinine	0.483199	8/1/16 13:0:0
Methylosmolene	0.442722	8/1/16 13:0:0
Methylosmolene	0.41319	8/1/16 13:0:0
Chlorodinine	0.39944	8/1/16 13:0:0
Methylosmolene	0.376836	8/1/16 13:0:0
AGOC-3A	0.318877	8/1/16 13:0:0
Appluimonia	0.303378	8/1/16 13:0:0
Appluimonia	0.275131	8/1/16 13:0:0
Appluimonia	0.258286	8/1/16 13:0:0
AGOC-3A	0.237496	8/1/16 13:0:0
Chlorodinine	0.223219	8/1/16 13:0:0
Methylosmolene	0.216902	8/1/16 13:0:0
AGOC-3A	0.1653	8/1/16 13:0:0
AGOC-3A	0.133552	8/1/16 13:0:0
Appluimonia	0.105626	8/1/16 13:0:0
Appluimonia	0.0674411	8/1/16 13:0:0
Chlorodinine	0.064684	8/1/16 13:0:0
AGOC-3A	0.0372296	8/1/16 13:0:0
AGOC-3A	0.0367871	8/1/16 13:0:0
Chlorodinine	0.032094	8/1/16 13:0:0
Methylosmolene	0.0253746	8/1/16 13:0:0
AGOC-3A	0.00140849	8/1/16 13:0:0
AGOC-3A	64.67163	8/1/16 14:0:0
AGOC-3A	7.06468	8/1/16 14:0:0
AGOC-3A	4.61642	8/1/16 14:0:0
Appluimonia	4.30398	8/1/16 14:0:0
Appluimonia	2.11448	8/1/16 14:0:0
Chlorodinine	1.14526	8/1/16 14:0:0
AGOC-3A	0.998753	8/1/16 14:0:0
Appluimonia	0.929659	8/1/16 14:0:0
Methylosmolene	0.914751	8/1/16 14:0:0
Methylosmolene	0.914134	8/1/16 14:0:0
Chlorodinine	0.785506	8/1/16 14:0:0
Methylosmolene	0.750472	8/1/16 14:0:0
Chlorodinine	0.615149	8/1/16 14:0:0
Methylosmolene	0.612065	8/1/16 14:0:0
Chlorodinine	0.587124	8/1/16 14:0:0
Appluimonia	0.55398	8/1/16 14:0:0
Methylosmolene	0.492842	8/1/16 14:0:0
Appluimonia	0.480988	8/1/16 14:0:0
Appluimonia	0.465946	8/1/16 14:0:0
AGOC-3A	0.45995	8/1/16 14:0:0
Methylosmolene	0.398283	8/1/16 14:0:0
Methylosmolene	0.329528	8/1/16 14:0:0
Chlorodinine	0.296476	8/1/16 14:0:0
Appluimonia	0.285828	8/1/16 14:0:0
Chlorodinine	0.262657	8/1/16 14:0:0
Methylosmolene	0.242898	8/1/16 14:0:0
Appluimonia	0.236734	8/1/16 14:0:0
AGOC-3A	0.189433	8/1/16 14:0:0
Appluimonia	0.181656	8/1/16 14:0:0
Chlorodinine	0.179915	8/1/16 14:0:0
AGOC-3A	0.159369	8/1/16 14:0:0
Chlorodinine	0.15395	8/1/16 14:0:0
AGOC-3A	0.123949	8/1/16 14:0:0
AGOC-3A	0.108137	8/1/16 14:0:0
Chlorodinine	0.0999084	8/1/16 14:0:0
AGOC-3A	0.0877004	8/1/16 14:0:0
Methylosmolene	2.24748	8/1/16 15:0:0
AGOC-3A	1.9347	8/1/16 15:0:0
AGOC-3A	1.17696	8/1/16 15:0:0
AGOC-3A	1.14994	8/1/16 15:0:0
Chlorodinine	1.03599	8/1/16 15:0:0
Chlorodinine	0.996751	8/1/16 15:0:0
Methylosmolene	0.877768	8/1/16 15:0:0
Appluimonia	0.735377	8/1/16 15:0:0
Chlorodinine	0.698231	8/1/16 15:0:0
Appluimonia	0.668103	8/1/16 15:0:0
AGOC-3A	0.609156	8/1/16 15:0:0
AGOC-3A	0.524956	8/1/16 15:0:0
Chlorodinine	0.483056	8/1/16 15:0:0
Methylosmolene	0.48298	8/1/16 15:0:0
Appluimonia	0.466869	8/1/16 15:0:0
Appluimonia	0.419728	8/1/16 15:0:0
Chlorodinine	0.407258	8/1/16 15:0:0
AGOC-3A	0.357925	8/1/16 15:0:0
AGOC-3A	0.353384	8/1/16 15:0:0
AGOC-3A	0.33225	8/1/16 15:0:0
Chlorodinine	0.316768	8/1/16 15:0:0
Methylosmolene	0.280855	8/1/16 15:0:0
Appluimonia	0.268197	8/1/16 15:0:0
