Chemical	Day	Hour	Reading
AGOC-3A	27	3	1.021179978
AGOC-3A	23	14	1.020986444
AGOC-3A	14	0	1.020367656
AGOC-3A	30	22	1.020346889
AGOC-3A	13	20	1.020274421
Chlorodinine	22	23	1.018022556
Methylosmolene	19	19	1.017752467
AGOC-3A	12	3	1.016803598
Chlorodinine	11	23	1.016132033
AGOC-3A	24	19	1.015190889
AGOC-3A	17	18	1.014857667
Chlorodinine	4	17	1.013543889
Methylosmolene	8	14	1.012900634
Chlorodinine	4	10	1.012738889
AGOC-3A	1	15	1.012231956
Chlorodinine	25	3	1.008996244
AGOC-3A	7	13	1.006970444
Chlorodinine	7	19	1.006788611
Chlorodinine	26	11	1.005946
Methylosmolene	1	18	1.004572189
AGOC-3A	22	22	1.004307789
Methylosmolene	27	0	1.003482556
AGOC-3A	7	2	1.002491159
Chlorodinine	3	0	1.002119
Methylosmolene	2	11	1.000948444
AGOC-3A	18	15	0.9993569
Appluimonia	11	18	0.999335144
Methylosmolene	28	5	0.998909689
AGOC-3A	18	22	0.998131289
AGOC-3A	7	10	0.997847333
AGOC-3A	31	23	0.997662322
Appluimonia	19	2	0.995572822
Appluimonia	20	10	0.995346889
AGOC-3A	29	12	0.994541211
Appluimonia	6	20	0.994503111
AGOC-3A	23	20	0.994420622
Chlorodinine	25	14	0.993825333
Methylosmolene	15	9	0.993728344
AGOC-3A	1	6	0.993181556
Chlorodinine	15	7	0.991785
Methylosmolene	22	6	0.991642267
Chlorodinine	27	22	0.9911762
Methylosmolene	15	23	0.991056556
Chlorodinine	16	8	0.990334667
Chlorodinine	13	5	0.990268111
Appluimonia	5	22	0.988868889
Appluimonia	26	12	0.988677056
Appluimonia	30	6	0.987867378
Chlorodinine	15	23	0.987660289
AGOC-3A	30	17	0.987640222
AGOC-3A	18	4	0.987195836
Chlorodinine	5	5	0.9870362
Appluimonia	8	6	0.987025889
Appluimonia	31	12	0.986359889
AGOC-3A	12	2	0.985965249
Chlorodinine	6	5	0.985884333
Chlorodinine	22	19	0.985859222
Appluimonia	26	18	0.985291556
Methylosmolene	5	6	0.985285667
Appluimonia	28	16	0.985178222
Chlorodinine	10	16	0.984884811
AGOC-3A	1	7	0.983687033
AGOC-3A	2	23	0.983334444
AGOC-3A	11	0	0.982225722
Chlorodinine	18	17	0.981492022
AGOC-3A	30	4	0.980971677
AGOC-3A	17	2	0.980543333
Chlorodinine	20	2	0.978349037
Chlorodinine	4	8	0.977344667
Appluimonia	31	18	0.977071144
Chlorodinine	4	2	0.976760144
AGOC-3A	28	12	0.976328222
Chlorodinine	15	16	0.975992456
Appluimonia	25	14	0.974980556
Chlorodinine	24	19	0.974940956
Appluimonia	16	6	0.973324333
AGOC-3A	21	12	0.973151411
Appluimonia	7	18	0.972921044
AGOC-3A	5	23	0.971895511
Appluimonia	15	14	0.971756911
Methylosmolene	13	8	0.971663889
Chlorodinine	9	22	0.971213911
Methylosmolene	15	5	0.969606033
Appluimonia	9	23	0.969248133
Appluimonia	18	20	0.969082533
Chlorodinine	6	17	0.968980867
Appluimonia	16	22	0.968595856
Methylosmolene	5	17	0.966575667
AGOC-3A	28	1	0.966002756
Appluimonia	17	14	0.965559289
Appluimonia	10	6	0.964485533
AGOC-3A	25	11	0.9636209
Methylosmolene	6	0	0.963574022
AGOC-3A	10	16	0.962689778
AGOC-3A	17	23	0.962597778
AGOC-3A	25	16	0.961971033
Appluimonia	25	7	0.961812778
Appluimonia	9	21	0.960957244
AGOC-3A	9	12	0.960535222
AGOC-3A	28	9	0.959248222
Methylosmolene	26	13	0.958718778
Methylosmolene	25	19	0.958147967
Chlorodinine	31	15	0.955876111
Methylosmolene	6	12	0.954380333
AGOC-3A	1	2	0.953245889
Methylosmolene	23	16	0.953219333
Methylosmolene	23	17	0.952699444
Chlorodinine	6	13	0.952620178
Methylosmolene	10	8	0.952420111
Chlorodinine	23	18	0.951851611
Appluimonia	2	1	0.950738111
Methylosmolene	25	16	0.950245391
AGOC-3A	26	13	0.950053111
Methylosmolene	30	19	0.949715778
AGOC-3A	29	6	0.949652922
AGOC-3A	19	15	0.949488067
Methylosmolene	13	11	0.949391967
Appluimonia	30	2	0.948510778
Methylosmolene	23	15	0.948138043
AGOC-3A	15	18	0.948094056
Methylosmolene	10	13	0.946795378
AGOC-3A	1	10	0.946715778
Chlorodinine	20	10	0.946359822
Methylosmolene	23	1	0.946054656
Appluimonia	29	5	0.945116667
Chlorodinine	14	2	0.944311922
AGOC-3A	7	18	0.944265444
Methylosmolene	15	20	0.943864844
AGOC-3A	24	3	0.943380311
AGOC-3A	27	4	0.943287111
Methylosmolene	12	9	0.94306855
Appluimonia	1	20	0.942908222
Methylosmolene	1	20	0.942888222
Chlorodinine	17	23	0.942776744
Methylosmolene	3	10	0.942718778
AGOC-3A	3	4	0.942023351
Methylosmolene	18	2	0.941871111
AGOC-3A	20	19	0.941162667
Methylosmolene	26	4	0.9409241
Methylosmolene	28	12	0.940064391
Chlorodinine	28	12	0.939668822
Appluimonia	31	6	0.939203622
Appluimonia	23	13	0.939055222
Chlorodinine	14	0	0.939005333
Methylosmolene	25	11	0.938412711
Appluimonia	11	12	0.938337011
Methylosmolene	16	2	0.937763233
Appluimonia	4	3	0.937414333
AGOC-3A	7	9	0.936488889
AGOC-3A	10	18	0.936255822
Appluimonia	10	18	0.9361383
Chlorodinine	1	8	0.935466556
Chlorodinine	19	19	0.934644744
Appluimonia	8	17	0.934087778
Chlorodinine	14	20	0.9339425
Chlorodinine	28	1	0.933929233
Appluimonia	16	14	0.933092264
AGOC-3A	14	17	0.933091333
AGOC-3A	22	6	0.932400533
Methylosmolene	8	11	0.9323375
Chlorodinine	7	14	0.932139656
Chlorodinine	13	19	0.93210622
AGOC-3A	22	3	0.931889889
Appluimonia	17	16	0.931813869
AGOC-3A	12	19	0.931143978
AGOC-3A	13	23	0.930980222
Appluimonia	31	13	0.930862333
AGOC-3A	8	10	0.930320444
Methylosmolene	20	12	0.930180222
AGOC-3A	28	0	0.930070444
Methylosmolene	15	10	0.930048275
Appluimonia	21	8	0.92975
Chlorodinine	19	16	0.929514
Appluimonia	28	5	0.929452
Chlorodinine	1	3	0.92943
Appluimonia	26	14	0.928957444
Appluimonia	30	0	0.927527167
Chlorodinine	7	8	0.927506889
Chlorodinine	3	11	0.927149889
Appluimonia	10	10	0.926853867
Chlorodinine	22	13	0.926652111
Chlorodinine	8	1	0.926550278
Methylosmolene	22	17	0.926424889
Appluimonia	2	16	0.9258026
AGOC-3A	27	1	0.925801222
Methylosmolene	29	1	0.925367233
Chlorodinine	26	8	0.925308222
Chlorodinine	14	13	0.924089444
AGOC-3A	4	7	0.924070333
Methylosmolene	11	15	0.9238532
Methylosmolene	30	22	0.923664778
AGOC-3A	2	19	0.92257631
Appluimonia	7	15	0.922526411
Methylosmolene	21	7	0.921851889
AGOC-3A	6	3	0.921681
Chlorodinine	29	22	0.921149289
Appluimonia	4	8	0.921129767
Appluimonia	24	8	0.920976767
Appluimonia	22	4	0.920976667
Chlorodinine	12	10	0.919936733
AGOC-3A	27	16	0.919773701
Methylosmolene	26	21	0.9192574
Chlorodinine	23	12	0.918145
Methylosmolene	4	21	0.917426289
Appluimonia	7	7	0.916959011
Methylosmolene	1	21	0.916538222
Methylosmolene	24	10	0.916205333
Chlorodinine	9	7	0.915918033
AGOC-3A	15	4	0.915764333
AGOC-3A	7	22	0.915563111
Methylosmolene	25	12	0.915264444
Chlorodinine	21	2	0.914863444
Appluimonia	14	6	0.913946778
Methylosmolene	17	11	0.913839675
Methylosmolene	23	4	0.913338367
Appluimonia	19	19	0.9132329
Methylosmolene	19	7	0.913153544
AGOC-3A	4	14	0.913125322
AGOC-3A	6	6	0.911899689
Methylosmolene	11	14	0.911874444
Appluimonia	7	13	0.911409878
Appluimonia	6	13	0.911194222
AGOC-3A	24	23	0.909989644
Appluimonia	30	22	0.909315556
AGOC-3A	3	16	0.908342
Methylosmolene	10	1	0.9081559
Chlorodinine	2	4	0.908131411
Appluimonia	11	7	0.907741678
Chlorodinine	31	0	0.9067356
Appluimonia	1	3	0.906658444
Chlorodinine	17	17	0.906650889
Appluimonia	29	19	0.906639011
Methylosmolene	26	3	0.906173433
Chlorodinine	14	8	0.905862
Chlorodinine	26	10	0.905596667
Appluimonia	3	11	0.905143878
Appluimonia	27	23	0.905036889
Appluimonia	5	8	0.904590278
Methylosmolene	1	19	0.904238444
Appluimonia	5	19	0.903992556
Chlorodinine	28	17	0.903912933
Chlorodinine	27	20	0.903752544
Chlorodinine	3	5	0.903449507
Methylosmolene	26	5	0.902101589
Appluimonia	19	7	0.901392556
Appluimonia	6	0	0.900772556
AGOC-3A	20	7	0.900378478
Chlorodinine	11	17	0.899806544
Chlorodinine	5	9	0.899717889
AGOC-3A	24	2	0.8994824
AGOC-3A	23	9	0.898858876
Appluimonia	24	14	0.898853356
Methylosmolene	16	18	0.8986632
Appluimonia	12	19	0.898644089
AGOC-3A	25	10	0.898203378
AGOC-3A	6	20	0.897666889
AGOC-3A	26	11	0.897629556
AGOC-3A	30	16	0.897429
Appluimonia	26	17	0.896973778
AGOC-3A	25	8	0.896505444
Appluimonia	6	5	0.895563889
Methylosmolene	16	11	0.895091983
Appluimonia	25	8	0.894841889
AGOC-3A	18	16	0.894437222
AGOC-3A	21	19	0.893195778
Appluimonia	4	12	0.892833556
Chlorodinine	27	16	0.892311878
Chlorodinine	22	20	0.891796244
Methylosmolene	27	20	0.891659889
Appluimonia	15	3	0.891370344
Methylosmolene	1	6	0.891233444
Chlorodinine	8	17	0.890247878
Appluimonia	14	14	0.890003822
AGOC-3A	8	19	0.88986053
AGOC-3A	4	20	0.889840778
AGOC-3A	9	17	0.889090111
Appluimonia	28	14	0.888311222
AGOC-3A	11	3	0.888198622
Chlorodinine	1	11	0.887675778
AGOC-3A	6	14	0.887397778
AGOC-3A	12	22	0.887192778
Chlorodinine	11	12	0.887104756
Chlorodinine	7	1	0.887041067
Appluimonia	10	14	0.886778556
AGOC-3A	2	14	0.886438767
AGOC-3A	5	12	0.886344222
AGOC-3A	19	16	0.886301
AGOC-3A	6	11	0.886288778
Chlorodinine	9	5	0.885708222
Chlorodinine	15	17	0.885290044
Methylosmolene	14	9	0.884593125
Chlorodinine	31	19	0.8841066
Appluimonia	1	10	0.883745
Methylosmolene	14	22	0.8830564
AGOC-3A	24	4	0.882936333
AGOC-3A	1	8	0.882211756
Appluimonia	28	20	0.882073778
AGOC-3A	21	17	0.881709378
AGOC-3A	30	7	0.881385756
Methylosmolene	13	12	0.881248444
AGOC-3A	13	8	0.881169933
Appluimonia	3	15	0.881066444
Appluimonia	11	11	0.880465189
Methylosmolene	13	2	0.880007539
Chlorodinine	25	15	0.879735222
Chlorodinine	2	20	0.879178222
Chlorodinine	22	11	0.8791702
Chlorodinine	21	11	0.879148556
Appluimonia	26	13	0.879116222
Methylosmolene	28	20	0.879041444
Appluimonia	28	3	0.878949967
Appluimonia	20	9	0.878569178
Chlorodinine	25	4	0.878401889
AGOC-3A	18	14	0.878387367
Methylosmolene	1	5	0.878197333
Appluimonia	31	10	0.877290667
AGOC-3A	13	1	0.876986556
Appluimonia	2	8	0.876937211
Appluimonia	27	15	0.876424333
Methylosmolene	17	4	0.876387111
AGOC-3A	15	3	0.875963734
AGOC-3A	18	5	0.875737111
Appluimonia	27	10	0.875726
Chlorodinine	31	2	0.875615778
Chlorodinine	14	11	0.875526778
Methylosmolene	29	6	0.875374556
AGOC-3A	7	5	0.875242222
Chlorodinine	27	9	0.874992389
Appluimonia	19	16	0.874949289
AGOC-3A	19	8	0.874872986
AGOC-3A	21	13	0.874824222
Methylosmolene	26	20	0.874809889
Appluimonia	30	20	0.874184333
Chlorodinine	28	3	0.874044567
Methylosmolene	5	10	0.873837667
AGOC-3A	17	12	0.873655022
Appluimonia	9	18	0.873503778
Methylosmolene	4	2	0.873146456
Appluimonia	28	9	0.8730524
AGOC-3A	17	3	0.872817222
Chlorodinine	17	21	0.872599356
Chlorodinine	24	20	0.872550667
Chlorodinine	22	5	0.871945889
AGOC-3A	30	5	0.871902622
Chlorodinine	9	9	0.871439089
Chlorodinine	3	14	0.8711388
Chlorodinine	4	4	0.871023433
AGOC-3A	29	21	0.870172156
Methylosmolene	14	3	0.870101
Chlorodinine	1	1	0.869927778
Appluimonia	4	23	0.869901
AGOC-3A	21	2	0.869255733
Methylosmolene	5	21	0.8692302
Appluimonia	23	10	0.868374289
Appluimonia	7	11	0.868144311
Methylosmolene	16	12	0.868114067
Methylosmolene	8	19	0.867962125
Chlorodinine	6	12	0.867789222
Appluimonia	15	20	0.867769622
Methylosmolene	30	5	0.866952444
AGOC-3A	21	1	0.866806778
Methylosmolene	30	20	0.866692778
Chlorodinine	7	11	0.866673987
Appluimonia	6	18	0.8666303
Appluimonia	13	4	0.866266611
Appluimonia	12	12	0.865919556
Chlorodinine	2	17	0.865694667
Appluimonia	23	16	0.865474333
AGOC-3A	19	4	0.865285667
AGOC-3A	16	5	0.8644764
Appluimonia	18	7	0.864115222
AGOC-3A	3	11	0.864036333
Appluimonia	18	21	0.863699
Methylosmolene	9	5	0.863346667
Appluimonia	1	14	0.863079889
AGOC-3A	2	18	0.863079333
AGOC-3A	21	15	0.862972389
Appluimonia	17	11	0.862862667
Chlorodinine	1	0	0.862122867
Methylosmolene	27	17	0.861866333
Chlorodinine	19	3	0.861701407
Chlorodinine	20	7	0.861408156
Appluimonia	21	13	0.861233667
AGOC-3A	20	2	0.861187667
Methylosmolene	22	1	0.861118889
Chlorodinine	27	19	0.861037889
Chlorodinine	30	23	0.860770111
Methylosmolene	21	9	0.860652809
AGOC-3A	6	22	0.860469778
Appluimonia	11	17	0.860187322
Chlorodinine	17	10	0.860172578
AGOC-3A	24	6	0.860164
Methylosmolene	4	13	0.860158667
Appluimonia	23	11	0.859890111
Appluimonia	1	18	0.859570333
Appluimonia	27	9	0.859057498
Methylosmolene	11	8	0.85877915
Chlorodinine	30	15	0.858741333
AGOC-3A	31	7	0.85796211
Methylosmolene	10	21	0.856821222
Appluimonia	11	20	0.856762322
AGOC-3A	27	18	0.856676433
AGOC-3A	26	18	0.856655778
Methylosmolene	30	15	0.856444567
AGOC-3A	20	17	0.8563799
Chlorodinine	29	16	0.856245462
Chlorodinine	16	2	0.8557634
Chlorodinine	26	4	0.854943767
Appluimonia	15	23	0.853765333
Chlorodinine	26	5	0.853741111
Methylosmolene	20	16	0.853409778
Appluimonia	27	5	0.852933522
AGOC-3A	24	12	0.852889411
Chlorodinine	26	2	0.852728778
Chlorodinine	23	11	0.852425222
AGOC-3A	15	16	0.852409222
AGOC-3A	6	10	0.851783222
Appluimonia	20	20	0.851418233
Methylosmolene	25	15	0.851302556
AGOC-3A	31	2	0.851193333
Chlorodinine	4	22	0.851181256
AGOC-3A	29	18	0.8506925
AGOC-3A	4	15	0.850604889
Methylosmolene	29	20	0.850482656
AGOC-3A	25	20	0.850211156
Appluimonia	18	15	0.849924889
Appluimonia	8	19	0.849150333
Methylosmolene	31	1	0.849126222
AGOC-3A	19	22	0.848818378
AGOC-3A	4	1	0.848635011
Methylosmolene	26	6	0.848320444
Appluimonia	12	18	0.847728111
Appluimonia	1	12	0.847126556
Chlorodinine	30	14	0.846989333
AGOC-3A	7	7	0.846815044
Chlorodinine	2	22	0.846453667
Chlorodinine	23	14	0.846439111
Appluimonia	22	15	0.846329267
Chlorodinine	22	17	0.846280111
Chlorodinine	27	11	0.846256444
Methylosmolene	12	12	0.846240244
Chlorodinine	30	0	0.845355122
Chlorodinine	23	20	0.8444875
Methylosmolene	19	3	0.844264744
Appluimonia	15	9	0.844144456
Methylosmolene	25	6	0.843601918
Methylosmolene	5	20	0.8433011
Chlorodinine	1	15	0.843272122
AGOC-3A	1	21	0.843105667
Chlorodinine	11	8	0.842796333
Appluimonia	13	19	0.84278996
Chlorodinine	17	16	0.842282444
AGOC-3A	29	13	0.842089111
Appluimonia	21	14	0.842045222
Chlorodinine	2	18	0.841953656
Chlorodinine	2	7	0.841600333
Appluimonia	2	22	0.841596556
Chlorodinine	14	6	0.841548867
Chlorodinine	5	1	0.841424889
AGOC-3A	11	22	0.841391622
Appluimonia	14	22	0.841308222
Chlorodinine	30	7	0.841263244
Methylosmolene	22	20	0.841241363
Appluimonia	28	13	0.841003
