key	date	value
Appluimonia	4/1/16 6:0:0	0.105537
Appluimonia	4/1/16 6:0:0	0.104948
Appluimonia	4/1/16 6:0:0	0.0848154
AGOC-3A	4/1/16 6:0:0	0.0686394
Chlorodinine	4/1/16 6:0:0	0.0627053
Chlorodinine	4/1/16 6:0:0	0.0278427
Appluimonia	4/1/16 6:0:0	0.0228912
AGOC-3A	4/1/16 7:0:0	4.78659
Chlorodinine	4/1/16 7:0:0	3.35156
AGOC-3A	4/1/16 7:0:0	1.02109
Chlorodinine	4/1/16 7:0:0	0.946475
Appluimonia	4/1/16 7:0:0	0.874363
Appluimonia	4/1/16 7:0:0	0.638567
Methylosmolene	4/1/16 7:0:0	0.602402
Chlorodinine	4/1/16 7:0:0	0.544958
Chlorodinine	4/1/16 7:0:0	0.542413
Methylosmolene	4/1/16 7:0:0	0.502477
Appluimonia	4/1/16 7:0:0	0.452319
AGOC-3A	4/1/16 7:0:0	0.426199
Appluimonia	4/1/16 7:0:0	0.421081
Appluimonia	4/1/16 7:0:0	0.386387
Methylosmolene	4/1/16 7:0:0	0.386002
Methylosmolene	4/1/16 7:0:0	0.375589
Chlorodinine	4/1/16 7:0:0	0.343747
Chlorodinine	4/1/16 7:0:0	0.333749
AGOC-3A	4/1/16 7:0:0	0.271824
Appluimonia	4/1/16 7:0:0	0.268262
Methylosmolene	4/1/16 7:0:0	0.268067
Methylosmolene	4/1/16 7:0:0	0.221445
Chlorodinine	4/1/16 7:0:0	0.213374
Chlorodinine	4/1/16 7:0:0	0.188189
AGOC-3A	4/1/16 7:0:0	0.170572
AGOC-3A	4/1/16 7:0:0	0.155064
AGOC-3A	4/1/16 7:0:0	0.0958847
Methylosmolene	4/1/16 7:0:0	0.0929588
Appluimonia	4/1/16 7:0:0	0.089142
Methylosmolene	4/1/16 7:0:0	0.072075
Methylosmolene	4/1/16 7:0:0	0.0330591
AGOC-3A	4/1/16 7:0:0	0.0320344
Appluimonia	4/1/16 7:0:0	0.025392
AGOC-3A	4/1/16 7:0:0	0.0231199
Chlorodinine	4/1/16 7:0:0	0.0142187
Appluimonia	4/1/16 7:0:0	0.0100301
Chlorodinine	4/1/16 8:0:0	3.83947
Appluimonia	4/1/16 8:0:0	2.10568
AGOC-3A	4/1/16 8:0:0	1.61156
Appluimonia	4/1/16 8:0:0	1.23009
Methylosmolene	4/1/16 8:0:0	0.917269
Appluimonia	4/1/16 8:0:0	0.69624
Chlorodinine	4/1/16 8:0:0	0.690937
Methylosmolene	4/1/16 8:0:0	0.553491
AGOC-3A	4/1/16 8:0:0	0.545655
Appluimonia	4/1/16 8:0:0	0.521752
Chlorodinine	4/1/16 8:0:0	0.521053
Appluimonia	4/1/16 8:0:0	0.476664
AGOC-3A	4/1/16 8:0:0	0.451286
Appluimonia	4/1/16 8:0:0	0.419446
Chlorodinine	4/1/16 8:0:0	0.380071
Appluimonia	4/1/16 8:0:0	0.366206
Chlorodinine	4/1/16 8:0:0	0.349802
Appluimonia	4/1/16 8:0:0	0.340732
Chlorodinine	4/1/16 8:0:0	0.331285
Chlorodinine	4/1/16 8:0:0	0.306871
Methylosmolene	4/1/16 8:0:0	0.292984
AGOC-3A	4/1/16 8:0:0	0.285264
Methylosmolene	4/1/16 8:0:0	0.263384
Appluimonia	4/1/16 8:0:0	0.246648
Chlorodinine	4/1/16 8:0:0	0.202865
Methylosmolene	4/1/16 8:0:0	0.177531
Methylosmolene	4/1/16 8:0:0	0.169993
Methylosmolene	4/1/16 8:0:0	0.165458
AGOC-3A	4/1/16 8:0:0	0.1416
Methylosmolene	4/1/16 8:0:0	0.129355
Chlorodinine	4/1/16 8:0:0	0.112167
AGOC-3A	4/1/16 8:0:0	0.0810158
AGOC-3A	4/1/16 8:0:0	0.071417
AGOC-3A	4/1/16 8:0:0	0.0343286
Methylosmolene	4/1/16 8:0:0	0.024255
AGOC-3A	4/1/16 8:0:0	0.0133735
Methylosmolene	4/1/16 9:0:0	1.90111
Appluimonia	4/1/16 9:0:0	1.78909
Appluimonia	4/1/16 9:0:0	0.915939
Chlorodinine	4/1/16 9:0:0	0.71666
Methylosmolene	4/1/16 9:0:0	0.714198
Chlorodinine	4/1/16 9:0:0	0.659626
Chlorodinine	4/1/16 9:0:0	0.655028
AGOC-3A	4/1/16 9:0:0	0.639886
Methylosmolene	4/1/16 9:0:0	0.601663
Appluimonia	4/1/16 9:0:0	0.586124
AGOC-3A	4/1/16 9:0:0	0.544795
Methylosmolene	4/1/16 9:0:0	0.522087
Methylosmolene	4/1/16 9:0:0	0.474724
Appluimonia	4/1/16 9:0:0	0.451534
AGOC-3A	4/1/16 9:0:0	0.407047
Appluimonia	4/1/16 9:0:0	0.37218
AGOC-3A	4/1/16 9:0:0	0.307569
Methylosmolene	4/1/16 9:0:0	0.304597
Appluimonia	4/1/16 9:0:0	0.300466
Chlorodinine	4/1/16 9:0:0	0.288103
Appluimonia	4/1/16 9:0:0	0.274487
AGOC-3A	4/1/16 9:0:0	0.270683
AGOC-3A	4/1/16 9:0:0	0.230418
Appluimonia	4/1/16 9:0:0	0.217195
Chlorodinine	4/1/16 9:0:0	0.204093
AGOC-3A	4/1/16 9:0:0	0.201245
AGOC-3A	4/1/16 9:0:0	0.201125
Chlorodinine	4/1/16 9:0:0	0.199124
Methylosmolene	4/1/16 9:0:0	0.126885
Chlorodinine	4/1/16 9:0:0	0.10603
Methylosmolene	4/1/16 9:0:0	0.0988394
Chlorodinine	4/1/16 9:0:0	0.0948834
Chlorodinine	4/1/16 9:0:0	0.0700218
AGOC-3A	4/1/16 9:0:0	0.0455874
Methylosmolene	4/1/16 9:0:0	0.0419438
Appluimonia	4/1/16 9:0:0	0.041054
Methylosmolene	4/1/16 10:0:0	0.786521
AGOC-3A	4/1/16 10:0:0	0.772321
Methylosmolene	4/1/16 10:0:0	0.756304
Chlorodinine	4/1/16 10:0:0	0.726825
Methylosmolene	4/1/16 10:0:0	0.670043
Appluimonia	4/1/16 10:0:0	0.657709
Chlorodinine	4/1/16 10:0:0	0.572236
AGOC-3A	4/1/16 10:0:0	0.565408
Chlorodinine	4/1/16 10:0:0	0.483525
Methylosmolene	4/1/16 10:0:0	0.457522
AGOC-3A	4/1/16 10:0:0	0.44956
Chlorodinine	4/1/16 10:0:0	0.417886
Appluimonia	4/1/16 10:0:0	0.384311
Chlorodinine	4/1/16 10:0:0	0.374429
Methylosmolene	4/1/16 10:0:0	0.337672
Appluimonia	4/1/16 10:0:0	0.332215
Appluimonia	4/1/16 10:0:0	0.326147
Appluimonia	4/1/16 10:0:0	0.304952
Appluimonia	4/1/16 10:0:0	0.289997
Chlorodinine	4/1/16 10:0:0	0.274667
AGOC-3A	4/1/16 10:0:0	0.271139
Appluimonia	4/1/16 10:0:0	0.268343
AGOC-3A	4/1/16 10:0:0	0.24401
Methylosmolene	4/1/16 10:0:0	0.218184
AGOC-3A	4/1/16 10:0:0	0.200995
Chlorodinine	4/1/16 10:0:0	0.192601
Appluimonia	4/1/16 10:0:0	0.183642
Methylosmolene	4/1/16 10:0:0	0.163966
AGOC-3A	4/1/16 10:0:0	0.162566
Appluimonia	4/1/16 10:0:0	0.156522
AGOC-3A	4/1/16 10:0:0	0.152753
Methylosmolene	4/1/16 10:0:0	0.141456
Chlorodinine	4/1/16 10:0:0	0.128094
Chlorodinine	4/1/16 10:0:0	0.057487
AGOC-3A	4/1/16 10:0:0	0.0251836
Methylosmolene	4/1/16 10:0:0	0.00298162
Methylosmolene	4/1/16 11:0:0	4.39846
Appluimonia	4/1/16 11:0:0	1.02831
AGOC-3A	4/1/16 11:0:0	0.967785
Methylosmolene	4/1/16 11:0:0	0.87337
Methylosmolene	4/1/16 11:0:0	0.854138
Appluimonia	4/1/16 11:0:0	0.78212
Methylosmolene	4/1/16 11:0:0	0.773302
Chlorodinine	4/1/16 11:0:0	0.70332
Chlorodinine	4/1/16 11:0:0	0.559303
AGOC-3A	4/1/16 11:0:0	0.502717
Appluimonia	4/1/16 11:0:0	0.453267
AGOC-3A	4/1/16 11:0:0	0.430635
Appluimonia	4/1/16 11:0:0	0.42455
Appluimonia	4/1/16 11:0:0	0.404981
Chlorodinine	4/1/16 11:0:0	0.392052
Methylosmolene	4/1/16 11:0:0	0.29769
Methylosmolene	4/1/16 11:0:0	0.259342
Methylosmolene	4/1/16 11:0:0	0.242137
Chlorodinine	4/1/16 11:0:0	0.241334
Chlorodinine	4/1/16 11:0:0	0.234759
Chlorodinine	4/1/16 11:0:0	0.229816
Methylosmolene	4/1/16 11:0:0	0.228423
Chlorodinine	4/1/16 11:0:0	0.227113
AGOC-3A	4/1/16 11:0:0	0.18658
AGOC-3A	4/1/16 11:0:0	0.171654
Chlorodinine	4/1/16 11:0:0	0.16321
Appluimonia	4/1/16 11:0:0	0.150965
Methylosmolene	4/1/16 11:0:0	0.143529
Appluimonia	4/1/16 11:0:0	0.132435
Appluimonia	4/1/16 11:0:0	0.120384
AGOC-3A	4/1/16 11:0:0	0.11802
AGOC-3A	4/1/16 11:0:0	0.0669641
AGOC-3A	4/1/16 11:0:0	0.0666572
Appluimonia	4/1/16 11:0:0	0.036502
Chlorodinine	4/1/16 11:0:0	0.025848
AGOC-3A	4/1/16 11:0:0	0.0143858
Methylosmolene	4/1/16 12:0:0	2.97161
Methylosmolene	4/1/16 12:0:0	1.9822
Chlorodinine	4/1/16 12:0:0	0.833999
AGOC-3A	4/1/16 12:0:0	0.81394
Chlorodinine	4/1/16 12:0:0	0.672943
Appluimonia	4/1/16 12:0:0	0.555826
Chlorodinine	4/1/16 12:0:0	0.496377
AGOC-3A	4/1/16 12:0:0	0.469625
AGOC-3A	4/1/16 12:0:0	0.435586
Appluimonia	4/1/16 12:0:0	0.417883
Appluimonia	4/1/16 12:0:0	0.399123
AGOC-3A	4/1/16 12:0:0	0.396962
Appluimonia	4/1/16 12:0:0	0.387515
Methylosmolene	4/1/16 12:0:0	0.357148
Chlorodinine	4/1/16 12:0:0	0.346274
Chlorodinine	4/1/16 12:0:0	0.275282
Methylosmolene	4/1/16 12:0:0	0.268327
Chlorodinine	4/1/16 12:0:0	0.264588
Appluimonia	4/1/16 12:0:0	0.236189
Chlorodinine	4/1/16 12:0:0	0.233285
Appluimonia	4/1/16 12:0:0	0.229907
Methylosmolene	4/1/16 12:0:0	0.213574
Methylosmolene	4/1/16 12:0:0	0.208672
Chlorodinine	4/1/16 12:0:0	0.203687
Chlorodinine	4/1/16 12:0:0	0.192999
AGOC-3A	4/1/16 12:0:0	0.189639
AGOC-3A	4/1/16 12:0:0	0.165788
Appluimonia	4/1/16 12:0:0	0.127155
Methylosmolene	4/1/16 12:0:0	0.10236
AGOC-3A	4/1/16 12:0:0	0.0969047
AGOC-3A	4/1/16 12:0:0	0.0870258
Methylosmolene	4/1/16 12:0:0	0.0784863
Appluimonia	4/1/16 12:0:0	0.0766411
Methylosmolene	4/1/16 12:0:0	0.0730682
AGOC-3A	4/1/16 12:0:0	0.0475963
Appluimonia	4/1/16 12:0:0	0.032094
AGOC-3A	4/1/16 13:0:0	2.9472
Chlorodinine	4/1/16 13:0:0	1.90125
Methylosmolene	4/1/16 13:0:0	1.60229
Methylosmolene	4/1/16 13:0:0	1.52117
Chlorodinine	4/1/16 13:0:0	0.885737
Appluimonia	4/1/16 13:0:0	0.829324
Chlorodinine	4/1/16 13:0:0	0.819536
Methylosmolene	4/1/16 13:0:0	0.742678
Appluimonia	4/1/16 13:0:0	0.615335
Appluimonia	4/1/16 13:0:0	0.589898
AGOC-3A	4/1/16 13:0:0	0.484358
Appluimonia	4/1/16 13:0:0	0.453212
Chlorodinine	4/1/16 13:0:0	0.433455
Methylosmolene	4/1/16 13:0:0	0.42977
AGOC-3A	4/1/16 13:0:0	0.416789
Methylosmolene	4/1/16 13:0:0	0.384708
Chlorodinine	4/1/16 13:0:0	0.356287
Appluimonia	4/1/16 13:0:0	0.331087
AGOC-3A	4/1/16 13:0:0	0.271808
Chlorodinine	4/1/16 13:0:0	0.271384
Appluimonia	4/1/16 13:0:0	0.24354
Chlorodinine	4/1/16 13:0:0	0.235847
Methylosmolene	4/1/16 13:0:0	0.223932
AGOC-3A	4/1/16 13:0:0	0.219576
Methylosmolene	4/1/16 13:0:0	0.206465
AGOC-3A	4/1/16 13:0:0	0.170308
AGOC-3A	4/1/16 13:0:0	0.13544
AGOC-3A	4/1/16 13:0:0	0.129685
Appluimonia	4/1/16 13:0:0	0.107169
Appluimonia	4/1/16 13:0:0	0.102078
Chlorodinine	4/1/16 13:0:0	0.0744315
Appluimonia	4/1/16 13:0:0	0.0456287
AGOC-3A	4/1/16 13:0:0	0.0225215
Methylosmolene	4/1/16 13:0:0	0.0167204
Chlorodinine	4/1/16 13:0:0	0.0159372
Methylosmolene	4/1/16 13:0:0	0.00629568
Chlorodinine	4/1/16 14:0:0	2.18663
AGOC-3A	4/1/16 14:0:0	2.06584
Appluimonia	4/1/16 14:0:0	1.68447
Chlorodinine	4/1/16 14:0:0	0.986431
AGOC-3A	4/1/16 14:0:0	0.985069
Methylosmolene	4/1/16 14:0:0	0.833012
Methylosmolene	4/1/16 14:0:0	0.787857
Methylosmolene	4/1/16 14:0:0	0.744591
Appluimonia	4/1/16 14:0:0	0.60598
AGOC-3A	4/1/16 14:0:0	0.542312
Methylosmolene	4/1/16 14:0:0	0.475952
Chlorodinine	4/1/16 14:0:0	0.440393
Chlorodinine	4/1/16 14:0:0	0.440045
Appluimonia	4/1/16 14:0:0	0.424518
Appluimonia	4/1/16 14:0:0	0.397431
Chlorodinine	4/1/16 14:0:0	0.378116
Chlorodinine	4/1/16 14:0:0	0.338016
AGOC-3A	4/1/16 14:0:0	0.329869
Methylosmolene	4/1/16 14:0:0	0.283356
Methylosmolene	4/1/16 14:0:0	0.281457
Chlorodinine	4/1/16 14:0:0	0.248804
AGOC-3A	4/1/16 14:0:0	0.240171
Appluimonia	4/1/16 14:0:0	0.239086
Appluimonia	4/1/16 14:0:0	0.229613
Methylosmolene	4/1/16 14:0:0	0.209022
Methylosmolene	4/1/16 14:0:0	0.19548
Appluimonia	4/1/16 14:0:0	0.187208
Chlorodinine	4/1/16 14:0:0	0.101092
Appluimonia	4/1/16 14:0:0	0.100419
Chlorodinine	4/1/16 14:0:0	0.0965608
Appluimonia	4/1/16 14:0:0	0.0813537
AGOC-3A	4/1/16 14:0:0	0.0551616
AGOC-3A	4/1/16 14:0:0	0.0458705
AGOC-3A	4/1/16 14:0:0	0.0306601
AGOC-3A	4/1/16 14:0:0	0.0140477
Methylosmolene	4/1/16 14:0:0	0.0131358
AGOC-3A	4/1/16 15:0:0	1.8144
Appluimonia	4/1/16 15:0:0	1.34866
AGOC-3A	4/1/16 15:0:0	0.927829
Methylosmolene	4/1/16 15:0:0	0.837112
Methylosmolene	4/1/16 15:0:0	0.773566
AGOC-3A	4/1/16 15:0:0	0.62139
AGOC-3A	4/1/16 15:0:0	0.589017
Methylosmolene	4/1/16 15:0:0	0.548344
AGOC-3A	4/1/16 15:0:0	0.531765
Chlorodinine	4/1/16 15:0:0	0.483222
Appluimonia	4/1/16 15:0:0	0.447587
Appluimonia	4/1/16 15:0:0	0.438771
AGOC-3A	4/1/16 15:0:0	0.43167
Methylosmolene	4/1/16 15:0:0	0.430541
Methylosmolene	4/1/16 15:0:0	0.333781
Appluimonia	4/1/16 15:0:0	0.298941
Chlorodinine	4/1/16 15:0:0	0.280986
Chlorodinine	4/1/16 15:0:0	0.272041
AGOC-3A	4/1/16 15:0:0	0.266658
Chlorodinine	4/1/16 15:0:0	0.262528
AGOC-3A	4/1/16 15:0:0	0.257714
